city_name,city_name2,team_name,lat,lon,usps,target_city,rank,pop2021,pop2010,growth_10,growth_rank,density,aland_sqmi,footballteam_present,pro_teams,stadium_count,per_capita_income,total_households,Margin of Error!!HOUSEHOLDS BY TYPE!!Total households,Percent!!HOUSEHOLDS BY TYPE!!Total households,married_cpl_hh,married_cpl_child_u18,non_married_hh,nonmarried_cpl_child_u18,single_male_hh,single_male_hh_childu18,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",single_male_hh_over65,single_female_hh,single_female_hh_childu18,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",single_female_hh_childu18,hh_multiple_ppl_u18,hh_multiple_ppl_o65,avg_household_size,avg_family_size,estimated_population,Estimate!!RELATIONSHIP!!Population in households!!Spouse,estimate_unmarried,estimate_child,estimate_otherrelative,estimate_nonrelative,estimate_male_o15,estimate_male_o15_unmarried,estimate_male_married,estimate_male_o15_seperated,estimate_male_o15_widow,estimate_male_o15_divorced,estimate_female_o15,estimate_female_o15_unmarried,estimate_female_married,estimate_female_o15_seperated,estimate_female_o15_widow,estimate_female_o15_divorced,estimate_15to50_childu1,per1000_female15to50_childu1_unmarried,per1000_female15to50_childu1,per1000_female15to19_childu1,per1000_female20to34_childu1,per1000_female35to50_childu1,grandparents_kidsinhouse_u18,grandparents_kids_inhouse,grandparents_kids_inhouse_u1,grandparents_kids_inhouse_1to2,grandparents_kids_inhouse_3to4,grandparents_kids_inhouse_o5,grandparents_kids_inhouse_u18,grandparents_kids_inhouse_u18female,school_o3,school_grade9to12,college_gradschool,educated_o25,noneducated_o25_below9thgrade,noneducated_o25_9to12thgrade,highschoolgrad_o25,associates_degree_o25,bachelors_degree_o25,grad_degree_o25,highschoolgradormore_o25,bachelorsormore_o25,Estimate!!VETERAN STATUS!!Civilian population 18 years and over,veteran_o18,disabled,Estimate!!PLACE OF BIRTH!!Total population,native_pop,american_pop,foreignborn_pop,foreignborn_citizen,foreignborn_naturalized,foreignborn_noncitizen,pop_born_abroad,Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only,nonenglishspeaking,spanish_speaking,household_comp_internet,household_computer,household_wifi,.pred_1,.pred_LR1,.pred_LR2,.pred_rf,URL_logo
Atlanta,Atlanta,Atlanta Falcons,33.75761,-84.40097,GA,,,524067,429410,0.2204,,3861,135.737,1,5,2,54557,2189294,8398,2189294,1041572,445826,115378,33676,390882,25140,274362,55955,641462,136679,330781,127693,726458,550072,2.71,3.35,5925217,1040546,116446,1860027,518046,200858,2299231,869624,1135918,38200,51811,203678,2520893,836744,1150774,52643,167461,313271,77188,30,50,12,81,33,147876,48676,8520,11066,8671,20419,48676,32774,1605816,348713,408499,4020704,159774,244060,939218,310646,995590,608746,3616870,1604336,4563277,309653,608448,6018744,5166449,5077151,852295,852295,405533,446762,941593,4597939,1049023,527076,2189294,2084834,1961928,99.60%,93.34%,100.00%,99.80%,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png
Austin,Austin,Austin,30.2672,-97.7431,TX,x,3,1011790,806164,0.2551,1,3162,319.939,0,1,2,61977,818084,6935,818084,393381,180033,58310,14124,160956,9516,109030,18879,205437,35726,116048,37198,260704,168910,2.67,3.31,2181633,392940,58768,634066,145651,132124,898328,360880,436141,10922,15426,74959,908198,303608,422747,18317,53290,110236,26820,15,45,9,70,30,40383,10339,2338,533,3335,4133,10339,6403,570971,113630,169808,1507707,77015,67951,290121,97067,445551,250408,1362741,695959,1721131,107528,209363,2227083,1877016,1835730,350067,350067,131615,218452,391353,1496778,593600,434916,818084,784220,745372,47.60%,61.14%,0.16%,19.57%,
Baltimore,Baltimore,Baltimore Ravens,39.27797,-76.62277,MD,,,575584,620915,-0.073,,7111,80.947,1,2,2,63988,1062901,6358,1062901,488067,191745,66024,18790,182286,11306,129356,38171,326524,57390,183186,86878,314520,321865,2.57,3.22,2729855,487734,66443,809188,216467,87122,1090422,421131,530463,18057,27693,93078,1201560,405703,532274,23642,102261,137680,33304,24,50,11,76,35,58957,18102,2082,4453,3826,7741,18102,11062,694054,134771,204772,1946830,52695,110325,476832,135533,448825,366794,1783810,815619,2169382,167846,336894,2800053,2510685,2466881,289368,289368,163988,125380,333172,2296236,338365,112895,1062901,994390,936107,98.42%,70.41%,99.74%,97.80%,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png
Boston,Boston,New England Patriots,42.09093,-71.26435,MA,,,695506,621048,0.1199,,14388,48.339,1,5,4,81498,1855763,7355,1855763,885360,350618,122923,26942,321692,16154,212177,65949,525788,79225,313005,151284,518916,562739,2.54,3.14,4709070,885271,123100,1313913,288850,242173,1970562,782260,972095,27118,43916,145173,2120272,757826,954838,34200,169084,204324,49855,15,41,6,57,36,80354,16186,2341,3754,2207,7884,16186,12437,1206992,231885,418223,3432848,137312,130601,756101,233547,911046,782641,3164935,1693687,3916127,182589,517474,4873019,3937427,3822903,935592,935592,499005,436587,1050116,3451324,1165645,428239,1855763,1749219,1676944,99.67%,96.40%,100.00%,99.80%,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png
Buffalo,Buffalo,Buffalo Bills,42.77374,-78.78698,NY,x,4,254290,261275,-0.0267,,6298,40.378,1,2,2,52331,488951,4886,488951,199795,70105,38756,11946,99413,5792,74432,21804,150987,25945,92124,46724,125405,153016,2.24,2.9,1097653,199957,38597,298522,44781,26845,452065,177186,209346,6869,13685,44979,488790,159252,210082,7770,49417,62269,13504,31,53,1,93,28,16154,5207,741,777,724,2965,5207,3506,256841,54443,74529,801126,19291,38282,228865,102323,151088,111866,743553,262954,899812,62834,148717,1127983,1056336,1036570,71647,71647,40740,30907,91413,961652,105206,35495,488951,444368,421408,91.23%,43.89%,99.80%,66.93%,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png
Charlotte,Charlotte,Carolina Panthers,35.22581,-80.85286,NC,,,912096,738444,0.2352,,2969,307.238,1,3,1,53916,982241,6569,982241,475863,192176,62405,21312,168446,10468,122151,29836,275527,57789,149827,61953,315996,258227,2.65,3.26,2599021,476843,61274,803765,187344,87554,1018003,371136,514866,19228,23748,89025,1108781,352122,513765,29808,80878,132208,33328,33,50,10,88,29,58478,20961,3286,2969,4204,10502,20961,12967,655722,145090,152545,1794033,74115,109055,408250,172331,428345,221422,1610863,649767,2017660,137672,263982,2636883,2353995,2325345,282888,282888,118204,164684,311538,2122757,353085,215705,982241,927579,876905,98.24%,68.19%,99.89%,99.80%,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png
Chicago,Chicago,Chicago Bears,41.86231,-87.61667,IL,,,2679080,2697480,-0.0068,,11783,227.369,1,6,3,63500,3539174,8877,3539174,1642192,672295,217087,66897,655432,39099,471725,126920,1024463,183281,588846,276079,1071875,1025237,2.63,3.34,9296823,1641883,217196,2925003,704914,268653,3735969,1491130,1801468,55230,99135,289006,3969124,1383997,1784979,73109,314565,412474,115309,28,50,8,83,31,198280,53559,9176,9518,7333,27532,53559,34931,2353601,515356,617369,6483217,334365,353297,1554216,473964,1535426,1009032,5795555,2544458,7314106,318199,965139,9457867,7796299,7663629,1661568,1661568,904943,756625,1794238,6277914,2620235,1549703,3539174,3297424,3102448,99.70%,98.20%,100.00%,99.80%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png
Cincinnati,Cincinnati,Cincinnati Bengals,39.09544,-84.51604,OH,,,307266,296980,0.0346,,3948,77.836,1,3,3,56033,878645,6040,878645,411061,153972,56795,20089,166971,14122,114285,31827,243818,47353,141396,64670,268767,248533,2.47,3.07,2169327,410219,57199,625530,124136,73598,872641,314508,432552,12511,23516,89554,920880,280310,433009,14269,75774,117518,25966,26,50,7,87,29,45687,20278,3073,2998,4103,10104,20278,12638,547046,117077,140024,1496183,35157,90524,443316,122826,328315,201434,1370502,529749,1703753,116199,268498,2219750,2101525,2089703,118225,118225,54449,63776,130047,1940883,142329,56457,878645,821046,777604,98.98%,77.79%,99.88%,97.30%,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png
Cleveland,Cleveland,Cleveland Browns,41.50602,-81.69956,OH,,,376599,395926,-0.0488,,4847,77.694,1,5,2,55451,872626,5551,872626,350923,119840,57580,17411,182553,10466,137426,40050,281570,48458,173287,83667,217301,284558,2.3,3.03,2005775,351870,56674,560620,112634,51351,809370,316083,372586,10496,24170,86035,886655,290780,376537,16361,84692,118285,26951,40,59,12,101,32,29358,11528,2775,1851,2140,4762,11528,7670,477937,106837,125908,1448794,41021,92539,410919,132383,277897,181285,1315234,459182,1618957,108626,279341,2048449,1917003,1882660,131446,131446,76355,55091,165789,1724308,211633,78951,872626,799556,715717,98.95%,77.36%,100.00%,96.13%,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png
Dallas,Dallas,Dallas Cowboys,32.74778,-97.09278,TX,,,1347120,1200350,0.1223,,3965,339.736,1,6,3,58725,2635017,10740,2635017,1336405,608615,141266,56783,459570,37346,306669,60381,697776,153227,369714,135780,954178,608624,2.84,3.46,7489445,1335519,142076,2486159,632389,258285,2903942,1052058,1488487,44998,56345,262054,3056715,951419,1464619,67692,196673,376312,103531,31,54,16,85,35,190227,64213,11425,10512,11599,30677,64213,39983,2027416,445288,478084,4932192,325468,336293,1131846,345035,1155466,632672,4270431,1788138,5620701,325634,713679,7573136,6118510,6015264,1454626,1454626,544405,910221,1557872,4790523,2270226,1628575,2635017,2514636,2357328,99.68%,97.21%,100.00%,96.80%,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png
Denver,Denver,Denver Broncos,39.74394,-105.0201,CO,,,749103,603359,0.2416,,4887,153.292,1,5,2,67236,1152457,4669,1152457,555603,229960,83683,17818,229681,16975,157579,36015,283490,42219,166380,66876,341519,281211,2.54,3.17,2931962,553994,84982,814770,195200,130559,1209727,444521,603255,13493,24705,123753,1215790,369269,596725,19070,70315,160411,33324,18,45,16,61,35,56985,20149,4317,3551,3111,9170,20149,12856,699568,150185,167240,2075491,69356,93279,411836,156346,596198,354073,1912856,950271,2306344,164527,276045,2967239,2615315,2564119,351924,351924,180533,171391,403120,2228994,564817,371417,1152457,1109622,1065933,99.54%,90.75%,100.00%,99.80%,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png
Detroit,Detroit,Detroit Lions,42.34016,-83.04581,MI,,,664139,711131,-0.0661,,4788,138.715,1,4,2,54172,1720610,8462,1720610,754284,282019,105682,31430,344582,23124,250330,66268,516062,92146,294572,149336,473548,531990,2.48,3.18,4272115,753859,106093,1321615,270976,98962,1707354,663523,799665,19461,51066,173639,1836754,598095,808133,25510,174809,230207,50863,32,52,10,88,29,74687,22605,5775,3856,3932,9042,22605,14845,1012880,230751,252950,3019345,85927,185139,825252,268136,579485,398861,2748279,978346,3373913,196849,593418,4319629,3874512,3827779,445117,445117,264768,180349,491850,3489639,577718,114770,1720610,1602423,1503425,99.58%,92.42%,100.00%,99.80%,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png
Houston,Houston,Houston Texans,29.68478,-95.41096,TX,,,2323660,2100280,0.1064,,3630,640.194,1,4,4,58890,2436438,12238,2436438,1233908,568994,150424,62607,427274,38140,287784,56701,624832,154534,305070,115411,921240,583978,2.87,3.46,6985870,1233514,150476,2366516,615235,183691,2707549,1002317,1385349,51948,52579,215356,2803774,877075,1347516,72413,190101,316669,98373,35,55,11,95,32,179210,61750,10471,10787,14985,25507,61750,39341,1915864,417310,434194,4571710,370499,332483,1075744,342711,971507,551225,3868728,1522732,5200659,260807,656853,7066140,5411629,5293471,1654511,1654511,705251,949260,1772669,3930569,2632057,1988909,2436438,2305814,2169801,99.65%,96.63%,100.00%,91.80%,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png
Indianapolis,Indianapolis,Indianapolis Colts,39.76006,-86.16381,IN,,,887232,821579,0.0799,,2454,361.571,1,2,1,56360,793781,6186,793781,369350,145523,52698,14346,143941,10851,107778,26832,227792,41996,143040,56550,236132,211565,2.57,3.28,2040198,367987,54077,620552,125770,78031,797308,294755,392029,9798,19004,81722,855280,279564,391424,12221,67027,105044,23378,27,46,11,79,24,35234,12806,1401,2365,2659,6381,12806,7150,506855,114670,104892,1387825,43029,90566,394308,111197,314963,173394,1254230,488357,1566921,101504,247101,2076531,1932642,1912833,143889,143889,61755,82134,163698,1763728,176995,86634,793781,729164,685052,97.20%,60.68%,99.80%,96.80%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png
Jacksonville,Jacksonville,Jacksonville Jaguars,30.32393,-81.63736,FL,,,929647,823114,0.1294,,1244,747.467,1,1,1,51421,584381,5888,584381,274910,98763,38631,13569,107676,6307,75374,18329,163164,32448,85678,39542,173381,175915,2.61,3.18,1527509,275543,37903,445109,116618,67955,610028,212887,296411,9061,17158,74511,656688,190064,298763,14350,56121,97390,19914,33,55,8,91,33,33959,12933,1180,3920,2038,5795,12933,8910,359418,72331,87908,1084491,30076,61046,301614,110453,229042,123576,993369,352618,1192083,138473,191689,1559514,1412714,1367942,146800,146800,86802,59998,191572,1279027,185656,91832,584381,552359,522338,15.75%,35.32%,0.13%,13.57%,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png
